run_id,q,g,L,omega,center_ldos,edge_ldos,local_difference,G_1L_abs,G_L1_abs,stripped_1L_abs,covariance_error
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3799999999999999,0.3924818512230303,0.350105034277065,1.6994755041601597e-14,0.0005070528222145,82.52527631794467,0.2045597083030967,1.2234186792032084e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3899999999999997,0.3870258263310235,0.3384693121395951,2.192690473634684e-14,0.0006066338926762,98.73257267022248,0.2447335794141829,1.6235410757655337e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4000000000000003,0.3701383016999447,0.3273911463320906,1.1139948452509024e-14,0.0006903909347391,112.36443258103373,0.2785235818401211,1.0264795826411771e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4100000000000001,0.3141247636622994,0.2926055644445547,1.0111575618103442e-14,0.0006962495198889,113.317945385111,0.2808871037787059,1.0264362416451928e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4199999999999999,0.2734327369146153,0.2714397837941291,1.9641850382783467e-15,0.0007104840054699,115.63467611679286,0.2866297051226151,8.540416156398547e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4299999999999997,0.2752066901622991,0.287952701210851,1.9776699752642247e-14,0.0008051253170126,131.0380030365493,0.3248107352528668,1.322117762536743e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4400000000000004,0.2820099349582121,0.2980912829323449,4.3406206307337485e-15,0.0008749351558743,142.39988879948297,0.3529740343187734,1.0262201954117936e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4500000000000002,0.2552785225760697,0.2614472386019527,9.799980934319676e-15,0.0008226449180395,133.88940204743034,0.3318786467576394,1.1821539855515876e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4599999999999999,0.2270745086847636,0.2265749516380004,8.062039218223567e-15,0.0007754435232453,126.20714888300694,0.3128362450046149,8.359269858113618e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4699999999999997,0.2340591189078255,0.230156988401323,4.046702006713095e-15,0.0008304163764294,135.1542441366919,0.3350138768395283,9.414531880756206e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.4800000000000004,0.2792311754548703,0.271902077516847,1.3374645550692707e-14,0.0009589272551741,156.0700054018693,0.3868588656022237,1.0033490915194291e-14
